id,volt,h2,lpg,ch4,co,alcohol,smoke,propane
0,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
1,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
2,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
3,0.17,6.164,3.292,4.747,18.252,5.582,10.552,4.438
4,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
5,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
6,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
7,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
8,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
9,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
10,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
11,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
12,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
13,0.19,7.895,4.234,6.727,26.907,7.658,14.239,5.646
14,0.19,7.895,4.234,6.727,26.907,7.658,14.239,5.646
15,0.19,7.895,4.234,6.727,26.907,7.658,14.239,5.646
16,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
17,0.19,7.895,4.234,6.727,26.907,7.658,14.239,5.646
18,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
19,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
20,0.19,7.895,4.234,6.727,26.907,7.658,14.239,5.646
21,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
22,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
23,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
24,0.19,7.895,4.234,6.727,26.907,7.658,14.239,5.646
25,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
26,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
27,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
28,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
29,0.19,7.895,4.234,6.727,26.907,7.658,14.239,5.646
30,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
31,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
32,0.19,7.895,4.234,6.727,26.907,7.658,14.239,5.646
33,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
34,0.19,7.895,4.234,6.727,26.907,7.658,14.239,5.646
35,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
36,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
37,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
38,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
39,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
40,0.17,6.164,3.292,4.747,18.252,5.582,10.552,4.438
41,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
42,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
43,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
44,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
45,0.17,6.164,3.292,4.747,18.252,5.582,10.552,4.438
46,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
47,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
48,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
49,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
50,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
51,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
52,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
53,0.19,7.895,4.234,6.727,26.907,7.658,14.239,5.646
54,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
55,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
56,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
57,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
58,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
59,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
60,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
61,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
62,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
63,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
64,0.19,7.895,4.234,6.727,26.907,7.658,14.239,5.646
65,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
66,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
67,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
68,0.17,6.164,3.292,4.747,18.252,5.582,10.552,4.438
69,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
70,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
71,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
72,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
73,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
74,0.19,7.895,4.234,6.727,26.907,7.658,14.239,5.646
75,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
76,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
77,0.19,7.895,4.234,6.727,26.907,7.658,14.239,5.646
78,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
79,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
80,0.19,7.895,4.234,6.727,26.907,7.658,14.239,5.646
81,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
82,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
83,0.19,7.895,4.234,6.727,26.907,7.658,14.239,5.646
84,0.19,7.895,4.234,6.727,26.907,7.658,14.239,5.646
85,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
86,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
87,0.19,7.895,4.234,6.727,26.907,7.658,14.239,5.646
88,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
89,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
90,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
91,0.19,7.895,4.234,6.727,26.907,7.658,14.239,5.646
92,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
93,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
94,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
95,0.19,7.895,4.234,6.727,26.907,7.658,14.239,5.646
96,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
97,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
98,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
99,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
100,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
101,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
102,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
103,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
104,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
105,0.19,7.895,4.234,6.727,26.907,7.658,14.239,5.646
106,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
107,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
108,0.19,7.895,4.234,6.727,26.907,7.658,14.239,5.646
109,0.19,7.895,4.234,6.727,26.907,7.658,14.239,5.646
110,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
111,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
112,0.19,7.895,4.234,6.727,26.907,7.658,14.239,5.646
113,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
114,0.19,7.895,4.234,6.727,26.907,7.658,14.239,5.646
115,0.19,7.895,4.234,6.727,26.907,7.658,14.239,5.646
116,0.19,7.895,4.234,6.727,26.907,7.658,14.239,5.646
117,0.19,7.895,4.234,6.727,26.907,7.658,14.239,5.646
118,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
119,0.19,7.895,4.234,6.727,26.907,7.658,14.239,5.646
120,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
121,0.19,7.895,4.234,6.727,26.907,7.658,14.239,5.646
122,0.19,7.895,4.234,6.727,26.907,7.658,14.239,5.646
123,0.19,7.895,4.234,6.727,26.907,7.658,14.239,5.646
124,0.19,7.895,4.234,6.727,26.907,7.658,14.239,5.646
125,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
126,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
127,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
128,0.19,7.895,4.234,6.727,26.907,7.658,14.239,5.646
129,0.19,7.895,4.234,6.727,26.907,7.658,14.239,5.646
130,0.17,6.164,3.292,4.747,18.252,5.582,10.552,4.438
131,0.19,7.895,4.234,6.727,26.907,7.658,14.239,5.646
132,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
133,0.19,7.895,4.234,6.727,26.907,7.658,14.239,5.646
134,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
135,0.19,7.895,4.234,6.727,26.907,7.658,14.239,5.646
136,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
137,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
138,0.19,7.895,4.234,6.727,26.907,7.658,14.239,5.646
139,0.19,7.895,4.234,6.727,26.907,7.658,14.239,5.646
140,0.19,7.895,4.234,6.727,26.907,7.658,14.239,5.646
141,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
142,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
143,0.19,7.895,4.234,6.727,26.907,7.658,14.239,5.646
144,0.19,7.895,4.234,6.727,26.907,7.658,14.239,5.646
145,0.19,7.895,4.234,6.727,26.907,7.658,14.239,5.646
146,0.19,7.895,4.234,6.727,26.907,7.658,14.239,5.646
147,0.19,7.895,4.234,6.727,26.907,7.658,14.239,5.646
148,0.19,7.895,4.234,6.727,26.907,7.658,14.239,5.646
149,0.19,7.895,4.234,6.727,26.907,7.658,14.239,5.646
150,0.19,7.895,4.234,6.727,26.907,7.658,14.239,5.646
151,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
152,0.19,7.895,4.234,6.727,26.907,7.658,14.239,5.646
153,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
154,0.19,7.895,4.234,6.727,26.907,7.658,14.239,5.646
155,0.19,7.895,4.234,6.727,26.907,7.658,14.239,5.646
156,0.19,7.895,4.234,6.727,26.907,7.658,14.239,5.646
157,0.19,7.895,4.234,6.727,26.907,7.658,14.239,5.646
158,0.19,7.895,4.234,6.727,26.907,7.658,14.239,5.646
159,0.19,7.895,4.234,6.727,26.907,7.658,14.239,5.646
160,0.19,7.895,4.234,6.727,26.907,7.658,14.239,5.646
161,0.19,7.895,4.234,6.727,26.907,7.658,14.239,5.646
162,0.19,7.895,4.234,6.727,26.907,7.658,14.239,5.646
163,0.19,7.895,4.234,6.727,26.907,7.658,14.239,5.646
164,0.19,7.895,4.234,6.727,26.907,7.658,14.239,5.646
165,0.19,7.895,4.234,6.727,26.907,7.658,14.239,5.646
166,0.19,7.895,4.234,6.727,26.907,7.658,14.239,5.646
167,0.2,8.853,4.756,7.904,32.199,8.864,16.357,6.31
168,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
169,0.19,7.895,4.234,6.727,26.907,7.658,14.239,5.646
170,0.19,7.895,4.234,6.727,26.907,7.658,14.239,5.646
171,0.19,7.895,4.234,6.727,26.907,7.658,14.239,5.646
172,0.19,7.895,4.234,6.727,26.907,7.658,14.239,5.646
173,0.19,7.895,4.234,6.727,26.907,7.658,14.239,5.646
174,0.19,7.895,4.234,6.727,26.907,7.658,14.239,5.646
175,0.19,7.895,4.234,6.727,26.907,7.658,14.239,5.646
176,0.19,7.895,4.234,6.727,26.907,7.658,14.239,5.646
177,0.19,7.895,4.234,6.727,26.907,7.658,14.239,5.646
178,0.19,7.895,4.234,6.727,26.907,7.658,14.239,5.646
179,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
180,0.19,7.895,4.234,6.727,26.907,7.658,14.239,5.646
181,0.19,7.895,4.234,6.727,26.907,7.658,14.239,5.646
182,0.19,7.895,4.234,6.727,26.907,7.658,14.239,5.646
183,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
184,0.19,7.895,4.234,6.727,26.907,7.658,14.239,5.646
185,0.19,7.895,4.234,6.727,26.907,7.658,14.239,5.646
186,0.19,7.895,4.234,6.727,26.907,7.658,14.239,5.646
187,0.19,7.895,4.234,6.727,26.907,7.658,14.239,5.646
188,0.19,7.895,4.234,6.727,26.907,7.658,14.239,5.646
189,0.19,7.895,4.234,6.727,26.907,7.658,14.239,5.646
190,0.19,7.895,4.234,6.727,26.907,7.658,14.239,5.646
191,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
192,0.19,7.895,4.234,6.727,26.907,7.658,14.239,5.646
193,0.19,7.895,4.234,6.727,26.907,7.658,14.239,5.646
194,0.19,7.895,4.234,6.727,26.907,7.658,14.239,5.646
195,0.19,7.895,4.234,6.727,26.907,7.658,14.239,5.646
196,0.19,7.895,4.234,6.727,26.907,7.658,14.239,5.646
197,0.19,7.895,4.234,6.727,26.907,7.658,14.239,5.646
198,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
199,0.19,7.895,4.234,6.727,26.907,7.658,14.239,5.646
200,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
201,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
202,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
203,0.19,7.895,4.234,6.727,26.907,7.658,14.239,5.646
204,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
205,0.19,7.895,4.234,6.727,26.907,7.658,14.239,5.646
206,0.2,8.853,4.756,7.904,32.199,8.864,16.357,6.31
207,0.19,7.895,4.234,6.727,26.907,7.658,14.239,5.646
208,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
209,0.19,7.895,4.234,6.727,26.907,7.658,14.239,5.646
210,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
211,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
212,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
213,0.19,7.895,4.234,6.727,26.907,7.658,14.239,5.646
214,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
215,0.19,7.895,4.234,6.727,26.907,7.658,14.239,5.646
216,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
217,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
218,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
219,0.19,7.895,4.234,6.727,26.907,7.658,14.239,5.646
220,0.19,7.895,4.234,6.727,26.907,7.658,14.239,5.646
221,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
222,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
223,0.19,7.895,4.234,6.727,26.907,7.658,14.239,5.646
224,0.2,8.853,4.756,7.904,32.199,8.864,16.357,6.31
225,0.19,7.895,4.234,6.727,26.907,7.658,14.239,5.646
226,0.19,7.895,4.234,6.727,26.907,7.658,14.239,5.646
227,0.19,7.895,4.234,6.727,26.907,7.658,14.239,5.646
228,0.19,7.895,4.234,6.727,26.907,7.658,14.239,5.646
229,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
230,0.19,7.895,4.234,6.727,26.907,7.658,14.239,5.646
231,0.19,7.895,4.234,6.727,26.907,7.658,14.239,5.646
232,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
233,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
234,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
235,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
236,0.19,7.895,4.234,6.727,26.907,7.658,14.239,5.646
237,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
238,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
239,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
240,0.19,7.895,4.234,6.727,26.907,7.658,14.239,5.646
241,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
242,0.19,7.895,4.234,6.727,26.907,7.658,14.239,5.646
243,0.19,7.895,4.234,6.727,26.907,7.658,14.239,5.646
244,0.19,7.895,4.234,6.727,26.907,7.658,14.239,5.646
245,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
246,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
247,0.19,7.895,4.234,6.727,26.907,7.658,14.239,5.646
248,0.19,7.895,4.234,6.727,26.907,7.658,14.239,5.646
249,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
250,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
251,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
252,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
253,0.19,7.895,4.234,6.727,26.907,7.658,14.239,5.646
254,0.19,7.895,4.234,6.727,26.907,7.658,14.239,5.646
255,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
256,0.19,7.895,4.234,6.727,26.907,7.658,14.239,5.646
257,0.19,7.895,4.234,6.727,26.907,7.658,14.239,5.646
258,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
259,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
260,0.19,7.895,4.234,6.727,26.907,7.658,14.239,5.646
261,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
262,0.19,7.895,4.234,6.727,26.907,7.658,14.239,5.646
263,0.19,7.895,4.234,6.727,26.907,7.658,14.239,5.646
264,0.19,7.895,4.234,6.727,26.907,7.658,14.239,5.646
265,0.19,7.895,4.234,6.727,26.907,7.658,14.239,5.646
266,0.19,7.895,4.234,6.727,26.907,7.658,14.239,5.646
267,0.19,7.895,4.234,6.727,26.907,7.658,14.239,5.646
268,0.19,7.895,4.234,6.727,26.907,7.658,14.239,5.646
269,0.19,7.895,4.234,6.727,26.907,7.658,14.239,5.646
270,0.19,7.895,4.234,6.727,26.907,7.658,14.239,5.646
271,0.19,7.895,4.234,6.727,26.907,7.658,14.239,5.646
272,0.19,7.895,4.234,6.727,26.907,7.658,14.239,5.646
273,0.19,7.895,4.234,6.727,26.907,7.658,14.239,5.646
274,0.19,7.895,4.234,6.727,26.907,7.658,14.239,5.646
275,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
276,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
277,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
278,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
279,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
280,0.19,7.895,4.234,6.727,26.907,7.658,14.239,5.646
281,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
282,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
283,0.19,7.895,4.234,6.727,26.907,7.658,14.239,5.646
284,0.19,7.895,4.234,6.727,26.907,7.658,14.239,5.646
285,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
286,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
287,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
288,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
289,0.19,7.895,4.234,6.727,26.907,7.658,14.239,5.646
290,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
291,0.19,7.895,4.234,6.727,26.907,7.658,14.239,5.646
292,0.19,7.895,4.234,6.727,26.907,7.658,14.239,5.646
293,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
294,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
295,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
296,0.17,6.164,3.292,4.747,18.252,5.582,10.552,4.438
297,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
298,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
299,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
300,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
301,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
302,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
303,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
304,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
305,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
306,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
307,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
308,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
309,0.17,6.164,3.292,4.747,18.252,5.582,10.552,4.438
310,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
311,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
312,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
313,0.19,7.895,4.234,6.727,26.907,7.658,14.239,5.646
314,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
315,0.19,7.895,4.234,6.727,26.907,7.658,14.239,5.646
316,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
317,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
318,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
319,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
320,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
321,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
322,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
323,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
324,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
325,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
326,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
327,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
328,0.19,7.895,4.234,6.727,26.907,7.658,14.239,5.646
329,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
330,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
331,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
332,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
333,0.19,7.895,4.234,6.727,26.907,7.658,14.239,5.646
334,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
335,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
336,0.19,7.895,4.234,6.727,26.907,7.658,14.239,5.646
337,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
338,0.19,7.895,4.234,6.727,26.907,7.658,14.239,5.646
339,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
340,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
341,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
342,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
343,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
344,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
345,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
346,0.17,6.164,3.292,4.747,18.252,5.582,10.552,4.438
347,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
348,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
349,0.19,7.895,4.234,6.727,26.907,7.658,14.239,5.646
350,0.19,7.895,4.234,6.727,26.907,7.658,14.239,5.646
351,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
352,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
353,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
354,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
355,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
356,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
357,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
358,0.19,7.895,4.234,6.727,26.907,7.658,14.239,5.646
359,0.17,6.164,3.292,4.747,18.252,5.582,10.552,4.438
360,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
361,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
362,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
363,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
364,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
365,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
366,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
367,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
